State,District,Scheme,Year,Target Beneficiaries,Actual Beneficiaries,Funds Allocated Lakh,Funds Utilized Lakh,Employment Generated,Completion Rate
Karnataka,Kalaburagi,MGNREGA,2022,18580,14818,1863.3,1429.9,11247,79.75
Assam,Kamrup,MGNREGA,2022,12170,11707,1049.7,932.7,12167,96.2
Karnataka,Mysuru,Skill India Mission (PMKVY),2023,5580,5349,1316.2,1261.2,3620,95.86
Kerala,Kollam,Skill India Mission (PMKVY),2020,4890,4270,1120.7,929.3,2859,87.32
West Bengal,Murshidabad,Skill India Mission (PMKVY),2019,3340,2319,788.6,492.7,1470,69.43
Bihar,Purnia,Swachh Bharat Mission (Gramin),2019,9800,7677,1191.5,870.1,1078,78.34
Odisha,Puri,PM Awas Yojana (Gramin),2023,8230,7863,9127.3,8452.8,2494,95.54
Gujarat,Junagadh,Ayushman Bharat - PMJAY,2023,12230,8162,1209.0,771.3,130,66.74
Assam,Dibrugarh,Skill India Mission (PMKVY),2020,5380,2144,1040.3,364.1,1174,39.85
Karnataka,Mysuru,PM Awas Yojana (Gramin),2021,8210,6121,9328.6,7275.9,2083,74.56
Tamil Nadu,Madurai,MGNREGA,2022,5640,3228,657.8,343.0,3496,57.23
Uttar Pradesh,Lucknow,Swachh Bharat Mission (Gramin),2020,3330,2173,424.1,249.1,210,65.26
Madhya Pradesh,Jabalpur,PM Kisan Samman Nidhi,2023,27900,27900,883.5,845.7,323,100.0
Jharkhand,Jamshedpur (East Singhbhum),Deendayal Antyodaya Yojana,2022,4450,4405,1169.9,1169.9,2089,98.99
Madhya Pradesh,Sagar,Deendayal Antyodaya Yojana,2019,5840,4084,1401.4,935.4,1574,69.93
Kerala,Thrissur,Skill India Mission (PMKVY),2019,4550,4550,1036.2,1036.2,3443,100.0
Telangana,Nizamabad,Deendayal Antyodaya Yojana,2023,5160,4670,1356.8,1176.2,2492,90.5
Madhya Pradesh,Gwalior,Swachh Bharat Mission (Gramin),2022,12340,8798,1022.6,760.4,627,71.3
Punjab,Jalandhar,National Rural Livelihood Mission,2021,8710,8087,1451.9,1329.4,3820,92.85
Tamil Nadu,Tiruchirappalli,Ayushman Bharat - PMJAY,2020,27630,23654,2648.4,2061.4,191,85.61
West Bengal,Murshidabad,Deendayal Antyodaya Yojana,2021,5080,3545,1623.2,1119.0,1466,69.78
Madhya Pradesh,Jabalpur,Swachh Bharat Mission (Gramin),2019,14820,8913,1979.8,1228.4,639,60.14
Karnataka,Belagavi,Deendayal Antyodaya Yojana,2023,6090,3613,1261.7,684.9,1097,59.33
Gujarat,Surat,Jal Jeevan Mission,2019,19960,13485,5820.6,3949.4,1556,67.56
Uttar Pradesh,Agra,Skill India Mission (PMKVY),2022,4610,4449,704.5,702.5,2326,96.51
Karnataka,Bengaluru Urban,Deendayal Antyodaya Yojana,2019,2440,1933,543.0,456.9,949,79.22
Odisha,Balasore,Deendayal Antyodaya Yojana,2020,5480,5155,1214.5,1138.2,2279,94.07
Madhya Pradesh,Sagar,MGNREGA,2020,12860,7488,645.4,362.0,6114,58.23
West Bengal,Murshidabad,Jal Jeevan Mission,2022,5170,4897,1386.5,1315.0,1176,94.72
Tamil Nadu,Chennai,Ayushman Bharat - PMJAY,2020,26220,17416,1871.6,1107.9,207,66.42
Kerala,Kollam,Jal Jeevan Mission,2022,6040,4112,1270.7,808.4,681,68.08
Odisha,Khordha,PM Ujjwala Yojana,2021,6600,2358,331.5,129.0,1,35.73
Punjab,Jalandhar,Deendayal Antyodaya Yojana,2019,2640,2192,813.8,629.8,1005,83.03
Karnataka,Bengaluru Urban,Skill India Mission (PMKVY),2021,4340,3638,1004.7,804.8,2186,83.82
Tamil Nadu,Salem,PM Awas Yojana (Gramin),2022,3440,2370,5432.2,3593.6,824,68.9
Telangana,Khammam,Skill India Mission (PMKVY),2022,1440,1016,314.4,222.3,580,70.56
Gujarat,Surat,Jal Jeevan Mission,2022,18430,11099,5454.8,3280.3,1374,60.22
Gujarat,Ahmedabad,Ayushman Bharat - PMJAY,2022,8050,7340,556.1,531.0,23,91.18
Jharkhand,Jamshedpur (East Singhbhum),Ayushman Bharat - PMJAY,2021,18610,18080,1479.5,1425.0,333,97.15
Gujarat,Junagadh,PM Kisan Samman Nidhi,2019,17050,15642,427.9,402.1,1,91.74
Assam,Jorhat,Deendayal Antyodaya Yojana,2023,6610,4058,1688.2,977.1,1769,61.39
Karnataka,Belagavi,Swachh Bharat Mission (Gramin),2020,12370,11357,1497.7,1317.2,1605,91.81
Tamil Nadu,Tiruchirappalli,PM Kisan Samman Nidhi,2022,39620,16861,1143.1,524.3,148,42.56
Gujarat,Rajkot,PM Awas Yojana (Gramin),2020,8720,8433,8304.8,8210.9,2316,96.71
Tamil Nadu,Erode,MGNREGA,2021,22480,15425,2255.0,1589.6,11019,68.62
Maharashtra,Nagpur,Jal Jeevan Mission,2020,16240,15764,4288.3,4212.0,1970,97.07
Madhya Pradesh,Bhopal,PM Awas Yojana (Gramin),2021,2920,2077,2925.5,2048.9,641,71.13
Bihar,Gaya,MGNREGA,2023,17540,11463,1997.8,1182.9,9189,65.35
Madhya Pradesh,Sagar,PM Awas Yojana (Gramin),2022,6710,4146,8113.8,4728.9,1152,61.79
Tamil Nadu,Erode,Jal Jeevan Mission,2022,17850,17488,4962.3,4533.4,2690,97.97
Madhya Pradesh,Sagar,Jal Jeevan Mission,2019,17600,11757,4134.1,2799.4,1262,66.8
Odisha,Puri,Skill India Mission (PMKVY),2021,2880,2020,583.9,410.0,1520,70.14
Telangana,Warangal,MGNREGA,2019,15120,8533,1142.2,572.8,7088,56.44
Tamil Nadu,Coimbatore,Swachh Bharat Mission (Gramin),2020,11840,8375,1541.3,1021.5,1184,70.73
Karnataka,Belagavi,National Rural Livelihood Mission,2019,5340,5271,1153.3,1153.3,3658,98.71
Kerala,Kollam,National Rural Livelihood Mission,2019,7980,5296,916.3,578.7,2535,66.37
Tamil Nadu,Erode,National Rural Livelihood Mission,2019,7030,3942,1448.9,802.2,1839,56.07
Maharashtra,Kolhapur,Skill India Mission (PMKVY),2021,4340,2472,541.8,335.4,1439,56.96
Gujarat,Surat,PM Ujjwala Yojana,2022,8580,7461,500.9,422.8,35,86.96
Tamil Nadu,Erode,MGNREGA,2022,18370,18260,1806.1,1701.8,14507,99.4
Rajasthan,Jaipur,National Rural Livelihood Mission,2023,8890,8872,1313.7,1238.4,5806,99.8
Karnataka,Bengaluru Urban,Swachh Bharat Mission (Gramin),2023,3350,2323,599.3,428.9,309,69.34
Gujarat,Surat,Deendayal Antyodaya Yojana,2020,3110,1908,951.9,508.2,641,61.35
Bihar,Darbhanga,Jal Jeevan Mission,2020,5800,3254,882.9,515.3,483,56.1
Bihar,Bhagalpur,PM Awas Yojana (Gramin),2020,8900,7749,10977.0,9789.8,1331,87.07
Gujarat,Surat,Deendayal Antyodaya Yojana,2019,6600,4930,2078.8,1403.0,1974,74.7
Telangana,Hyderabad,Skill India Mission (PMKVY),2022,1600,1102,222.9,139.4,777,68.88
Assam,Jorhat,PM Ujjwala Yojana,2023,11190,8587,480.1,379.5,169,76.74
Jharkhand,Hazaribagh,Swachh Bharat Mission (Gramin),2022,10400,7571,1692.5,1184.5,615,72.8
Rajasthan,Bikaner,Jal Jeevan Mission,2021,19620,18578,3140.6,3062.2,2127,94.69
Assam,Jorhat,PM Kisan Samman Nidhi,2023,9960,7883,248.4,180.7,105,79.15
Punjab,Patiala,PM Awas Yojana (Gramin),2021,11840,7039,14861.4,7945.1,2249,59.45
Rajasthan,Ajmer,National Rural Livelihood Mission,2019,7750,5016,1174.1,751.6,2942,64.72
Telangana,Khammam,PM Awas Yojana (Gramin),2023,6380,2350,9146.9,3732.8,438,36.83
Bihar,Darbhanga,PM Ujjwala Yojana,2019,4820,4665,157.9,151.1,63,96.78
Bihar,Bhagalpur,Jal Jeevan Mission,2021,16730,16730,4726.2,4490.0,1798,100.0
Maharashtra,Nashik,Skill India Mission (PMKVY),2022,4980,3626,737.2,526.9,1954,72.81
Telangana,Khammam,Skill India Mission (PMKVY),2023,3530,1408,698.6,244.5,808,39.89
Maharashtra,Pune,Skill India Mission (PMKVY),2022,2440,1901,365.8,282.3,1186,77.91
Tamil Nadu,Erode,PM Awas Yojana (Gramin),2022,2310,1348,2585.2,1445.9,375,58.35
Madhya Pradesh,Bhopal,PM Ujjwala Yojana,2019,7820,7487,342.5,331.2,98,95.74
Maharashtra,Nagpur,PM Ujjwala Yojana,2023,9060,6525,356.1,243.7,33,72.02
Gujarat,Junagadh,MGNREGA,2023,21710,19187,1619.1,1503.1,14564,88.38
Bihar,Darbhanga,PM Kisan Samman Nidhi,2019,13800,13800,372.0,372.0,188,100.0
Jharkhand,Hazaribagh,Deendayal Antyodaya Yojana,2021,6340,4686,1557.4,1154.3,2099,73.91
Rajasthan,Ajmer,MGNREGA,2021,20130,11564,2178.4,1098.9,12051,57.45
Odisha,Balasore,Ayushman Bharat - PMJAY,2022,20160,19360,2401.3,2126.7,221,96.03
West Bengal,Murshidabad,Deendayal Antyodaya Yojana,2022,5310,3062,1032.7,633.5,1465,57.66
West Bengal,Malda,Skill India Mission (PMKVY),2022,5290,3271,891.2,512.5,2023,61.83
Odisha,Khordha,National Rural Livelihood Mission,2019,4200,3535,563.2,482.0,2375,84.17
Kerala,Thiruvananthapuram,National Rural Livelihood Mission,2019,6270,5920,860.4,816.9,2597,94.42
Assam,Kamrup,Jal Jeevan Mission,2023,10170,7030,1720.4,1208.7,1755,69.12
Jharkhand,Hazaribagh,MGNREGA,2022,21660,15290,1356.3,886.7,13677,70.59
West Bengal,Howrah,PM Kisan Samman Nidhi,2019,17690,10499,558.4,347.4,8,59.35
Rajasthan,Ajmer,PM Kisan Samman Nidhi,2023,20340,12769,618.2,388.9,184,62.78
Uttar Pradesh,Meerut,National Rural Livelihood Mission,2020,5140,4490,997.4,821.8,3097,87.35
Punjab,Patiala,Swachh Bharat Mission (Gramin),2021,14110,14110,1780.2,1755.0,1450,100.0
Bihar,Gaya,Deendayal Antyodaya Yojana,2020,3250,2459,753.9,601.7,1055,75.66
Maharashtra,Nashik,MGNREGA,2020,13940,10744,1507.9,1059.5,11031,77.07
Jharkhand,Jamshedpur (East Singhbhum),PM Awas Yojana (Gramin),2022,2870,2040,3358.8,2154.4,436,71.08
Maharashtra,Amravati,National Rural Livelihood Mission,2020,2630,1392,412.1,229.7,753,52.93
Odisha,Khordha,MGNREGA,2019,13390,8225,1550.8,951.3,8311,61.43
West Bengal,Murshidabad,MGNREGA,2019,12810,11419,1050.4,867.4,10719,89.14
Uttar Pradesh,Prayagraj,PM Kisan Samman Nidhi,2021,22060,8564,630.0,220.5,90,38.82
Rajasthan,Jaipur,Ayushman Bharat - PMJAY,2023,21620,16610,1332.4,1068.4,129,76.83
Rajasthan,Udaipur,PM Awas Yojana (Gramin),2021,3110,2691,4166.7,3690.0,583,86.53
Uttar Pradesh,Gorakhpur,Ayushman Bharat - PMJAY,2021,26060,23064,2532.2,2267.3,374,88.5
